link;source;created;lastSeen
http://www.dr.dk/nyheder/indland/kort-her-kan-du-komme-igennem-koebenhavn-under-maratonet;https://www.facebook.com/DRNyheder/;21/05/16 19:05;23/05/16 04:25
http://www.dr.dk/nyheder/indland/kvinde-afleverer-tre-haandgranater-politistation-lukker;https://www.facebook.com/DRNyheder/;17/05/16 16:55;18/05/16 15:25
http://www.dr.dk/nyheder/indland/kvinder-fra-hele-landet-faar-nyt-foedested-naar-de-ringer-ind-med-veer;https://www.facebook.com/DRNyheder/;14/05/16 07:15;15/05/16 11:15
http://www.dr.dk/nyheder/indland/laege-daarligt-stillede-boer-gaa-endnu-mere-til-laegen;https://www.facebook.com/DRNyheder/;23/05/16 06:55;24/05/16 06:15
http://www.dr.dk/nyheder/indland/laeger-oensker-dyr-hiv-behandling-indfoert-i-danmark;https://www.facebook.com/DRNyheder/;13/05/16 08:05;14/05/16 07:45
http://www.dr.dk/nyheder/indland/laererne-skrottet-maaltal-loeser-ikke-problemerne-med-inklusion;https://www.facebook.com/DRNyheder/;11/05/16 08:55;11/05/16 20:55
http://www.dr.dk/nyheder/indland/langtuddannede-diabetikere-faar-oftere-hjaelp-af-specialister;https://www.facebook.com/DRNyheder/;27/05/16 05:25;27/05/16 16:25
http://www.dr.dk/nyheder/indland/leicester-gav-pengene-1500-gange-igen-claus-vinder-112500-kroner;https://www.facebook.com/DRNyheder/;03/05/16 11:55;04/05/16 09:55
http://www.dr.dk/nyheder/indland/lejrchef-fra-asylcenter-fritstillet-efter-voldsom-video;https://www.facebook.com/DRNyheder/;14/05/16 06:45;15/05/16 10:35
http://www.dr.dk/nyheder/indland/levakovics-boern-efter-dom-tak-danmark;https://www.facebook.com/DRNyheder/;12/05/16 11:05;13/05/16 06:25
http://www.dr.dk/nyheder/indland/lokal-3f-formand-om-vestas-sag-det-er-ogsaa-farligt-traekke-vejret;https://www.facebook.com/DRNyheder/;18/05/16 12:25;19/05/16 06:55
